Language	Parameter	Cognateset
A141_Lefo	know	know-4
A141_Lefo	leaf	leaf-4
A141_Lefo	leg	leg-1
A141_Lefo	liver	liver-1
A141_Lefo	louse	louse-5
A141_Lefo	man	man-1
A141_Lefo	moon	moon-1
A141_Lefo	mouth	mouth-1
A141_Lefo	name	name-4
A141_Lefo	navel	navel-1
A141_Lefo	neck	neck-5
A141_Lefo	night	night-4
A141_Lefo	nose	nose-5
A141_Lefo	one	one-1
A141_Lefo	person	person-2
A141_Lefo	rain	rain-4
A141_Lefo	road	road-3
A141_Lefo	root	root-1
A141_Lefo	salt	salt-5
A141_Lefo	sand	sand-3
A141_Lefo	see	see-4
A141_Lefo	send	send-1
A141_Lefo	shame	shame-5
A141_Lefo	sing	sing-4
A141_Lefo	skin	skin-1
A141_Lefo	sky	sky-8
A141_Lefo	sleep	sleep-1
A141_Lefo	smoke	smoke-4
A141_Lefo	snake	snake-1
A141_Lefo	spear	spear-3
A141_Lefo	steal	steal-4
A141_Lefo	stone	stone-3
A141_Lefo	sun	sun-7
A141_Lefo	tail	tail-1
A141_Lefo	ten	ten-1
A141_Lefo	three	three-2
A141_Lefo	tongue	tongue-1
A141_Lefo	tooth	tooth-1
A141_Lefo	tree	tree-1
A141_Lefo	two	two-1
A141_Lefo	urine	urine-3
A141_Lefo	village	village-6
A141_Lefo	vomit	vomit-2
A141_Lefo	walk	walk-4
A141_Lefo	war	war-2
A141_Lefo	water	water-4
A141_Lefo	wind	wind-4
A141_Lefo	woman	woman-6
A151_Nkongho	animal	animal-1
A151_Nkongho	arm	arm-3
A151_Nkongho	ashes	ashes-7
A151_Nkongho	bark	bark-2
A151_Nkongho	bed	bed-8
A151_Nkongho	belly	belly-6
A151_Nkongho	big	big-6
A151_Nkongho	bird	bird-2
A151_Nkongho	bite	bite-3
A151_Nkongho	blood	blood-1
A151_Nkongho	bone	bone-4
A151_Nkongho	breast	breast-1
A151_Nkongho	burn	burn-8
A151_Nkongho	child	child-1
A151_Nkongho	cloud	cloud-2
A151_Nkongho	come	come-9
A151_Nkongho	count	count-2
A151_Nkongho	dew	dew-7
A151_Nkongho	die	die-1
A151_Nkongho	dog	dog-3
A151_Nkongho	drink	drink-1
A151_Nkongho	ear	ear-3
A151_Nkongho	eat	eat-3
A151_Nkongho	egg	egg-3
A151_Nkongho	elephant	elephant-4
A151_Nkongho	eye	eye-2
A151_Nkongho	face	face-6
A151_Nkongho	fall	fall-6
A151_Nkongho	fat, oil	fatoil-4
A151_Nkongho	feather	feather-4
A151_Nkongho	fingernail	fingernail-7
A151_Nkongho	fire	fire-1
A151_Nkongho	fire-wood	firewood-7
A151_Nkongho	fish	fish-1
A151_Nkongho	five	five-1
A151_Nkongho	fly	fly-6
A151_Nkongho	four	four-3
A151_Nkongho	give	give-1
A151_Nkongho	goat	goat-1
A151_Nkongho	ground, soil	groundsoil-6
A151_Nkongho	hair	hair-1
A151_Nkongho	head	head-4
A151_Nkongho	hear	hear-1
A151_Nkongho	heart	heart-3
A151_Nkongho	horn	horn-1
A151_Nkongho	house	house-1
A151_Nkongho	hunger	hunger-1
A151_Nkongho	intestine	intestine-2
A151_Nkongho	iron	iron-8
A151_Nkongho	kill	kill-4
A151_Nkongho	knee	knee-3
A151_Nkongho	knife	knife-1
A151_Nkongho	know	know-4
A151_Nkongho	leaf	leaf-4
A151_Nkongho	leg	leg-1
A151_Nkongho	liver	liver-1
